,State,City,Year,Count,Mean_Severity,High Severity Count
434,AL,Cottondale,2023,16,2.0,0.0
435,AL,Cottonwood,2019,1,2.0,0.0
436,AL,Cottonwood,2020,2,2.0,0.0
437,AL,Cottonwood,2021,2,2.0,0.0
438,AL,Cottonwood,2022,3,2.0,0.0
439,AL,Courtland,2019,4,2.0,0.0
440,AL,Courtland,2020,1,2.0,0.0
441,AL,Courtland,2021,3,2.0,0.0
442,AL,Courtland,2022,4,2.0,0.0
443,AL,Cowarts,2019,2,2.0,0.0
444,AL,Cowarts,2020,6,2.0,0.0
445,AL,Cowarts,2021,5,2.0,0.0
446,AL,Cowarts,2022,3,2.6666666666666665,0.0
447,AL,Crane Hill,2022,1,1.0,0.0
448,AL,Creola,2017,2,3.0,2.0
449,AL,Creola,2018,11,2.4545454545454546,5.0
450,AL,Creola,2019,14,2.7857142857142856,11.0
451,AL,Creola,2020,6,2.3333333333333335,2.0
452,AL,Creola,2021,25,2.12,1.0
453,AL,Creola,2022,29,2.1379310344827585,2.0
454,AL,Creola,2023,1,2.0,0.0
455,AL,Cropwell,2018,1,2.0,0.0
456,AL,Cropwell,2019,3,2.0,0.0
457,AL,Cropwell,2020,2,2.5,1.0
458,AL,Cropwell,2021,2,2.0,0.0
459,AL,Crossville,2019,6,2.0,0.0
460,AL,Crossville,2020,1,2.0,0.0
461,AL,Crossville,2021,3,2.0,0.0
462,AL,Crossville,2022,5,2.0,0.0
463,AL,Cuba,2017,4,3.0,4.0
464,AL,Cuba,2018,11,2.727272727272727,8.0
465,AL,Cuba,2019,8,2.625,3.0
466,AL,Cuba,2020,20,2.25,5.0
467,AL,Cuba,2021,14,2.4285714285714284,4.0
468,AL,Cuba,2022,24,2.2083333333333335,1.0
469,AL,Cullman,2017,8,3.0,2.0
470,AL,Cullman,2018,69,2.391304347826087,27.0
471,AL,Cullman,2019,205,2.2390243902439027,47.0
472,AL,Cullman,2020,330,2.184848484848485,60.0
473,AL,Cullman,2021,360,2.1416666666666666,43.0
474,AL,Cullman,2022,240,2.0541666666666667,17.0
475,AL,Cullman,2023,2,2.0,0.0
476,AL,Cusseta,2016,1,2.0,0.0
477,AL,Cusseta,2018,2,2.0,0.0
478,AL,Cusseta,2019,3,2.6666666666666665,2.0
479,AL,Cusseta,2020,9,2.111111111111111,1.0
480,AL,Cusseta,2021,14,2.357142857142857,3.0
481,AL,Cusseta,2022,14,2.5,7.0
482,AL,Dadeville,2018,4,2.0,0.0
483,AL,Dadeville,2019,6,2.0,0.0
484,AL,Dadeville,2020,3,2.0,0.0
485,AL,Dadeville,2021,8,2.25,0.0
486,AL,Daleville,2019,13,2.0,0.0
487,AL,Daleville,2020,13,2.0,0.0
488,AL,Daleville,2021,18,2.0,0.0
489,AL,Daleville,2022,8,2.0,0.0
490,AL,Daleville,2023,2,3.0,0.0
491,AL,Danville,2017,3,3.3333333333333335,0.0
492,AL,Danville,2018,2,2.0,0.0
493,AL,Danville,2019,6,2.0,0.0
494,AL,Danville,2020,6,3.3333333333333335,0.0
495,AL,Danville,2021,2,2.0,0.0
496,AL,Danville,2022,6,2.0,0.0
497,AL,Daphne,2016,1,4.0,0.0
498,AL,Daphne,2017,20,2.45,9.0
499,AL,Daphne,2018,98,2.357142857142857,33.0
500,AL,Daphne,2019,237,2.4936708860759493,113.0
501,AL,Daphne,2020,272,2.4301470588235294,103.0
502,AL,Daphne,2021,348,2.206896551724138,62.0
503,AL,Daphne,2022,466,2.1566523605150216,53.0
504,AL,Daphne,2023,11,2.1818181818181817,0.0
505,AL,Dauphin Island,2021,3,2.0,0.0
506,AL,Daviston,2021,4,2.5,0.0
507,AL,Daviston,2022,2,2.0,0.0
508,AL,Dawson,2022,5,2.8,0.0
509,AL,Deatsville,2018,7,2.4285714285714284,3.0
510,AL,Deatsville,2019,21,2.2857142857142856,4.0
511,AL,Deatsville,2020,41,2.268292682926829,7.0
512,AL,Deatsville,2021,66,2.1818181818181817,10.0
513,AL,Deatsville,2022,72,2.2083333333333335,9.0
514,AL,Decatur,2017,2,3.5,1.0
515,AL,Decatur,2018,181,2.0773480662983426,10.0
516,AL,Decatur,2019,340,2.088235294117647,31.0
517,AL,Decatur,2020,167,2.1676646706586826,28.0
518,AL,Decatur,2021,137,2.145985401459854,18.0
519,AL,Decatur,2022,212,2.047169811320755,11.0
520,AL,Decatur,2023,4,2.0,0.0
521,AL,Deer Park,2019,1,2.0,0.0
522,AL,Deer Park,2020,2,2.0,0.0
523,AL,Deer Park,2021,3,2.0,0.0
524,AL,Delta,2018,1,2.0,0.0
525,AL,Delta,2019,1,2.0,0.0
526,AL,Delta,2020,1,2.0,0.0
527,AL,Delta,2021,3,2.0,0.0
528,AL,Delta,2022,2,3.0,0.0
529,AL,Demopolis,2019,1,2.0,0.0
530,AL,Demopolis,2020,1,2.0,0.0
531,AL,Demopolis,2021,3,2.0,0.0
532,AL,Demopolis,2022,4,2.0,0.0
533,AL,Detroit,2019,1,2.0,0.0
534,AL,Dixons Mills,2020,2,2.0,0.0
535,AL,Dolomite,2020,2,2.0,0.0
536,AL,Dora,2018,2,3.5,1.0
537,AL,Dora,2019,4,2.0,0.0
538,AL,Dora,2020,6,2.0,0.0
539,AL,Dora,2021,8,2.125,1.0
540,AL,Dora,2022,7,2.142857142857143,1.0
541,AL,Dothan,2018,33,2.121212121212121,2.0
542,AL,Dothan,2019,216,2.0185185185185186,4.0
543,AL,Dothan,2020,302,2.006622516556291,2.0
544,AL,Dothan,2021,397,2.0352644836272042,2.0
545,AL,Dothan,2022,787,1.9707750952986023,4.0
546,AL,Dothan,2023,26,2.0,0.0
547,AL,Double Springs,2017,3,3.3333333333333335,0.0
548,AL,Double Springs,2018,1,2.0,0.0
